categoria,termo,codigo,nome,ch_teorica,ch_pratica,ch_extensao
OPTATIVA,1,8907,ANÁLISE COMBINATÓRIA E PROBABILIDADE,36,0,
OPTATIVA,1,8824,ANÁLISE EXPLORATÓRIA DE DADOS USANDO R,18,0,
FIXA,1,5702,CÁLCULO EM UMA VARIÁVEL,72,36,
FIXA,1,2672,"CIÊNCIA, TECNOLOGIA E SOCIEDADE",36,0,
OPTATIVA,1,8821,"COORDENADAS POLARES, CILÍNDRICAS E ESFÉRICAS",22,0,
OPTATIVA,1,8823,FUNÇÕES TRIGONOMÉTRICAS,22,0,
FIXA,1,5703,FUNDAMENTOS DE BIOLOGIA MODERNA,72,0,
OPTATIVA,1,8962,INTRODUÇÃO À ASTRONOMIA E ASTROFÍSICA,20,0,
OPTATIVA,1,8819,INTRODUÇÃO A RMN,36,0,
OPTATIVA,1,8898,INTRODUÇÃO À TEORIA DE CONJUNTOS FUZZY E APLICAÇÕES,20,0,
OPTATIVA,1,8908,INTRODUÇÃO AO SOFTWARE R,20,0,
ELETIVA,1,7684,LABORATÓRIO DE MATEMÁTICA,0,36,
FIXA,1,9394,LÓGICA DE PROGRAMAÇÃO,42,30,
OPTATIVA,1,8954,NOÇÕES EM EMPREENDEDORISMO E INOVAÇÃO,18,0,
OPTATIVA,1,8909,PRÉ-CÁLCULO,36,0,
OPTATIVA,1,8817,PYTHON PARA ENGENHARIA,32,0,
FIXA,1,5704,QUÍMICA GERAL,72,0,
OPTATIVA,1,8822,SEMINÁRIOS MULTIDISCIPLINARES SOBRE CIÊNCIA E TECNOLOGIA,32,0,
INTERDISCIPLINAR,1,6057,SÉRIES TEMPORAIS E PREVISÕES,62,10,
OPTATIVA,1,8820,TÓPICOS EM FÍSICA MODERNA,36,0,
OPTATIVA,1,6517,UNIDADE DE APOIO AO CÁLCULO,72,0,
ELETIVA,2,2832,ALGORITMOS E ESTRUTURAS DE DADOS I,36,36,
ELETIVA,2,5124,ANATOMIA,10,26,4
ELETIVA,2,9823,ATIVIDADES COMPLEMENTARES EXTENSIONISTAS I,0,36,36
ELETIVA,2,5843,BIOLOGIA MOLECULAR DO GENE,72,0,20
ELETIVA,2,5842,BIOQUÍMICA I,72,0,
FIXA,2,5870,"CIÊNCIA, TECNOLOGIA, SOCIEDADE E AMBIENTE",36,0,
ELETIVA,2,5919,CULTURA DIGITAL,72,0,
FIXA,2,4369,FENÔMENOS MECÂNICOS,72,0,
ELETIVA,2,2650,GEOMETRIA ANALÍTICA,64,8,
ELETIVA,2,6069,INTRODUÇÃO À ECONOMIA GLOBAL,36,0,
ELETIVA,2,4380,INTRODUÇÃO À ENGENHARIA BIOMÉDICA,36,0,
INTERDISCIPLINAR,2,4373,INTRODUÇÃO À ENGENHARIA DE MATERIAIS,36,0,8
ELETIVA,2,6050,INTRODUÇÃO À LÓGICA FUZZY,58,14,
ELETIVA,2,6034,LEGISLAÇÃO AMBIENTAL E POLÍTICAS PÚBLICAS,72,0,
ELETIVA,2,2201,MATEMÁTICA DISCRETA,36,36,
ELETIVA,2,5844,MATEMÁTICA GERAL,72,0,
ELETIVA,2,4374,METODOLOGIA DA PESQUISA E COMUNICAÇÃO CIENTÍFICA,28,8,
ELETIVA,2,5120,MICROBIOLOGIA GERAL,72,0,
INTERDISCIPLINAR,2,4370,QUÍMICA GERAL EXPERIMENTAL,0,72,16
ELETIVA,2,6070,RELAÇÕES ÉTNICO-RACIAIS E CULTURA AFRO-BRASILEIRA E INDÍGENA,36,0,
ELETIVA,2,4328,SÉRIES E EQUAÇÕES DIFERENCIAIS ORDINÁRIAS,62,10,
ELETIVA,3,2475,ÁLGEBRA LINEAR,62,10,
ELETIVA,3,2833,ALGORITMOS E ESTRUTURAS DE DADOS II,46,26,
INTERDISCIPLINAR,3,5414,ALGORITMOS EM BIOINFORMÁTICA,36,36,
INTERDISCIPLINAR,3,5775,ALTERIDADE E DIVERSIDADE NO BRASIL: IMPLICAÇÕES PARA POLÍTICA DE C&T,36,0,
INTERDISCIPLINAR,3,5095,ANÁLISE DE INVESTIMENTOS E RISCOS,30,42,
ELETIVA,3,5739,BIOLOGIA DO DESENVOLVIMENTO,36,0,8
ELETIVA,3,5741,BIOLOGIA MOLECULAR DA CÉLULA,72,0,
ELETIVA,3,5359,CÁLCULO EM VÁRIAS VARIÁVEIS,62,10,
ELETIVA,3,5115,"CIDADANIA, CIÊNCIA E POLÊMICA",72,0,
ELETIVA,3,3518,CIRCUITOS DIGITAIS,52,20,20
ELETIVA,3,5774,COMBINATÓRIA ENUMERATIVA,72,0,
INTERDISCIPLINAR,3,6076,CULTURA DOS JOGOS DIGITAIS,18,18,
INTERDISCIPLINAR,3,5101,ECONOMIA MATEMÁTICA,50,22,
ELETIVA,3,4348,FENÔMENOS DO CONTÍNUO,72,0,
ELETIVA,3,4538,FENÔMENOS MECÂNICOS EXPERIMENTAL,0,36,
ELETIVA,3,5746,FÍSICA GERAL,72,0,
ELETIVA,3,8215,FISIOLOGIA HUMANA I,60,12,
INTERDISCIPLINAR,3,4404,FUNDAMENTOS DE MECÂNICA CELESTE,62,10,
INTERDISCIPLINAR,3,9819,INICIAÇÃO AOS PEPICT I,36,0,36
INTERDISCIPLINAR,3,9820,INICIAÇÃO AOS PEPICT II,36,0,36
INTERDISCIPLINAR,3,5169,INTRODUÇÃO À NANOTECNOLOGIA,30,6,6
INTERDISCIPLINAR,3,5845,LABORATÓRIO DE BIOQUÍMICA,0,72,
ELETIVA,3,5121,MICROBIOLOGIA APLICADA E INDUSTRIAL,72,0,36
INTERDISCIPLINAR,3,4352,MODELAGEM COMPUTACIONAL,18,18,
ELETIVA,3,9822,MODELAGEM DE DADOS APLICADA AOS NEGÓCIOS,30,42,
INTERDISCIPLINAR,3,4774,MUDANÇA DO CLIMA E SOCIEDADE,36,0,
ELETIVA,3,9903,NEUROCIÊNCIA APLICADA AO COTIDIANO,18,18,
ELETIVA,3,6071,POLÍTICA CIENTÍFICA E TECNOLÓGICA (PC&T),36,0,
INTERDISCIPLINAR,3,8240,PRÁTICA EM PROJETOS EXTENSIONISTAS I,0,72,72
INTERDISCIPLINAR,3,4772,QUÍMICA INORGÂNICA,60,12,8
ELETIVA,3,4350,QUÍMICA ORGÂNICA,72,0,
ELETIVA,3,4410,REALIDADE VIRTUAL E AUMENTADA,54,18,
ELETIVA,3,6075,SISTEMAS ROBÓTICOS,52,20,
INTERDISCIPLINAR,3,4537,TECNOLOGIA E MEIO AMBIENTE,36,0,12
INTERDISCIPLINAR,3,6072,TECNOLOGIA SOCIAL: PRÁXIS E CONTRA-HEGEMONIA,36,0,
ELETIVA,3,5887,TEORIA DAS FINANÇAS,36,0,
INTERDISCIPLINAR,3,6073,TÓPICOS EM CIÊNCIA E TECNOLOGIA I,36,0,
INTERDISCIPLINAR,3,6074,TÓPICOS INTERDISCIPLINARES EM COMPUTAÇÃO I,24,12,
ELETIVA,3,6052,TOPOLOGIA GERAL,72,0,
ELETIVA,4,5373,ÁLGEBRA LINEAR II,72,0,
ELETIVA,4,3519,ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES,52,20,
ELETIVA,4,9824,ATIVIDADES COMPLEMENTARES EXTENSIONISTAS II,0,36,36
ELETIVA,4,5740,BIOLOGIA GERAL,72,0,
ELETIVA,4,5847,BIOQUÍMICA II,72,0,
ELETIVA,4,2828,CÁLCULO NUMÉRICO,58,14,
ELETIVA,4,6045,CÁLCULO VARIACIONAL,72,0,
ELETIVA,4,4764,CIÊNCIA E TECNOLOGIA DOS MATERIAIS,72,0,
ELETIVA,4,5902,CIRCUITOS ELÉTRICOS I,72,0,
INTERDISCIPLINAR,4,6046,CÓDIGOS CORRETORES DE ERROS,62,10,
ELETIVA,4,5900,DESENHO TÉCNICO BÁSICO,18,18,
INTERDISCIPLINAR,4,6084,"DIREITOS HUMANOS, MULTICULTURALISMO E C&T",36,0,
INTERDISCIPLINAR,4,5408,ECONOMETRIA,30,42,
ELETIVA,4,6081,ECONOMIA MONETÁRIA E BANCOS,36,0,
ELETIVA,4,6077,"ECONOMIA, SOCIEDADE E AMBIENTE",36,0,
ELETIVA,4,6078,ENGENHARIA TECIDUAL E BIOFABRICAÇÃO,36,0,
ELETIVA,4,5140,FARMACOLOGIA MOLECULAR,72,0,
ELETIVA,4,5364,FENÔMENOS DO CONTÍNUO EXPERIMENTAL,0,36,
ELETIVA,4,4748,FENÔMENOS ELETROMAGNÉTICOS,72,0,
ELETIVA,4,8272,FISIOLOGIA HUMANA II,60,12,
ELETIVA,4,6115,FISIOPATOLOGIA CLÍNICA DOS SISTEMAS HUMANOS,72,0,
ELETIVA,4,3584,FUNÇÕES ANALÍTICAS,62,10,
ELETIVA,4,5119,FUNDAMENTOS DE ENGENHARIA BIOQUÍMICA,72,0,
INTERDISCIPLINAR,4,4760,INTRODUÇÃO À BIOTECNOLOGIA,36,0,4
ELETIVA,4,6082,INTRODUÇÃO À ENGENHARIA FINANCEIRA,30,42,
ELETIVA,4,8042,INTRODUÇÃO À NEUROCIÊNCIA,36,36,
INTERDISCIPLINAR,4,4375,LABORATÓRIO DE BIOLOGIA MOLECULAR E CELULAR,0,36,
INTERDISCIPLINAR,4,5848,LABORATÓRIO DE MICROBIOLOGIA,0,36,8
ELETIVA,4,5928,LABORATÓRIO DE SISTEMAS COMPUTACIONAIS: CIRCUITOS DIGITAIS,8,28,
ELETIVA,4,4770,MECÂNICA GERAL,72,0,
ELETIVA,4,4547,MÉTODOS MATEMÁTICOS,62,10,
ELETIVA,4,8533,MÉTODOS MATEMÁTICOS PARA A ENGENHARIA,72,0,
ELETIVA,4,9792,MÉTODOS MATEMÁTICOS PARA A ENGENHARIA,72,0,
ELETIVA,4,6083,ORGANIZAÇÃO INDUSTRIAL,36,0,
INTERDISCIPLINAR,4,4166,PLANEJAMENTO DE EXPERIMENTOS,36,36,
INTERDISCIPLINAR,4,8051,PRÁTICA EM PROJETOS EXTENSIONISTAS II,0,72,72
ELETIVA,4,3163,PROBABILIDADE,60,12,
ELETIVA,4,2471,PROGRAMAÇÃO ORIENTADA A OBJETOS,36,36,
ELETIVA,4,3579,PROJETO E ANÁLISE DE ALGORITMOS,52,20,
ELETIVA,4,8101,PROTOTIPAGEM E MANUFATURA ADITIVA,62,10,
INTERDISCIPLINAR,4,4536,QUÍMICA ORGÂNICA EXPERIMENTAL,0,72,8
ELETIVA,4,4773,TERMODINÂMICA QUÍMICA,72,0,8
INTERDISCIPLINAR,4,6079,TÓPICOS EM CIÊNCIA E TECNOLOGIA II,36,0,
ELETIVA,4,6930,TÓPICOS ESPECIAIS EM CIÊNCIA E ENGENHARIA DE MATERIAIS I,72,0,
ELETIVA,4,6941,TÓPICOS ESPECIAIS EM CIÊNCIA E ENGENHARIA DE MATERIAIS III,36,0,
INTERDISCIPLINAR,4,6080,TÓPICOS INTERDISCIPLINARES EM COMPUTAÇÃO II,24,12,
ELETIVA,5,4146,ÁLGEBRA LINEAR COMPUTACIONAL,62,10,
ELETIVA,5,5132,ANÁLISE DE SINAIS,72,0,
ELETIVA,5,5773,ANÁLISE REAL I,72,0,
ELETIVA,5,9901,ASPECTOS BÁSICOS DA ERGONOMIA PARA ENGENHEIROS,36,36,
INTERDISCIPLINAR,5,5384,BIOÉTICA E BIOSSEGURANÇA,36,0,36
INTERDISCIPLINAR,5,5170,BIOMATERIAIS,32,4,4
ELETIVA,5,5760,BIOQUÍMICA ANALÍTICA,72,0,8
ELETIVA,5,7232,CIÊNCIA E ENGENHARIA DE BIOMATERIAIS,56,16,8
ELETIVA,5,5903,CIRCUITOS ELÉTRICOS II,72,0,
INTERDISCIPLINAR,5,6103,COMPUTAÇÃO BIOINSPIRADA,48,24,
ELETIVA,5,3051,COMPUTAÇÃO GRÁFICA,36,36,
ELETIVA,5,5901,DESENHO TÉCNICO ASSISTIDO POR COMPUTADOR,0,36,
OPTATIVA,5,6106,ELABORAÇÃO DE TRABALHOS CIENTÍFICOS E TECN. EM COMPUTAÇÃO,18,18,
INTERDISCIPLINAR,5,7671,EMPREENDEDORISMO,20,16,
INTERDISCIPLINAR,5,5849,EMPREENDEDORISMO EM BIOTECNOLOGIA,36,0,
ELETIVA,5,5762,ENGENHARIA BIOQUÍMICA I,72,0,4
ELETIVA,5,4545,EQUAÇÕES DIFERENCIAIS PARCIAIS,72,0,8
ELETIVA,5,4405,ESPAÇOS MÉTRICOS,72,0,8
ELETIVA,5,6054,ESTATÍSTICA MATEMÁTICA,62,10,
ELETIVA,5,5136,FENÔMENOS DE TRANSPORTE,72,0,
ELETIVA,5,5137,FENÔMENOS ELETROMAGNÉTICOS EXPERIMENTAL,0,36,4
ELETIVA,5,4403,FÍSICA MODERNA,72,0,
ELETIVA,5,5141,FISIOPATOLOGIA CARDIORRESPIRATÓRIA,72,0,
ELETIVA,5,3490,INTELIGÊNCIA ARTIFICIAL,48,24,8
INTERDISCIPLINAR,5,6048,INTRODUÇÃO À AEROELASTICIDADE,40,32,
INTERDISCIPLINAR,5,5372,INTRODUÇÃO À BIOINFORMÁTICA,36,36,8
INTERDISCIPLINAR,5,4714,INTRODUÇÃO À ECOLOGIA,72,0,20
ELETIVA,5,9802,INTRODUÇÃO AOS MATERIAIS ELÉTRICOS,36,0,
ELETIVA,5,6089,LABORATÓRIO DE CIRCUITOS ELÉTRICOS,0,36,
ELETIVA,5,6090,LABORATÓRIO DE SISTEMAS COMPUTACIONAIS: ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES,14,58,
ELETIVA,5,2616,LINGUAGENS FORMAIS E AUTÔMATOS,72,0,
INTERDISCIPLINAR,5,8239,MARKETING ESTRATÉGICO,36,0,
ELETIVA,5,5142,MATERIAIS CERÂMICOS,60,12,8
ELETIVA,5,5143,MATERIAIS METÁLICOS,52,20,8
ELETIVA,5,5144,MATERIAIS POLIMÉRICOS,60,12,8
ELETIVA,5,6056,MODELOS LINEARES GENERALIZADOS,62,10,
ELETIVA,5,4148,OTIMIZAÇÃO LINEAR,58,14,6
ELETIVA,5,4402,OTIMIZAÇÃO NÃO LINEAR,58,14,8
INTERDISCIPLINAR,5,2609,PROBABILIDADE E ESTATÍSTICA,54,18,18
ELETIVA,5,4147,PROCESSOS ESTOCÁSTICOS,62,10,
ELETIVA,5,9722,PROGRAMAÇÃO EM PYTHON APLICADA À ENGENHARIA BIOMÉDICA,0,36,
ELETIVA,5,4663,PROGRAMAÇÃO PARALELA E PROCESSAMENTO DE ALTO DESEMPENHO,36,36,
ELETIVA,5,5168,PROJETO ORIENTADO A OBJETOS,36,36,
INTERDISCIPLINAR,5,5883,QUÍMICA ANALÍTICA,26,46,16
ELETIVA,5,6674,RECICLAGEM DE MATERIAIS,36,0,
ELETIVA,5,5145,RESISTÊNCIA DOS MATERIAIS,72,0,
INTERDISCIPLINAR,5,9826,RESOLUÇÃO DE PROBLEMAS VIA MODELAGEM MATEMÁTICA I,0,72,72
INTERDISCIPLINAR,5,4150,SIMULAÇÃO DE SISTEMAS,44,28,
ELETIVA,5,2612,SISTEMAS OPERACIONAIS,54,18,
ELETIVA,5,10245,SOFT SKILLS BASEADA EM NEUROCIÊNCIA,18,18,
INTERDISCIPLINAR,5,4406,TEORIA DOS NÚMEROS E CRIPTOGRAFIA,62,10,
INTERDISCIPLINAR,5,6091,TÓPICOS EM CIÊNCIA E TECNOLOGIA III,36,0,
ELETIVA,5,6166,TÓPICOS EM FUNDAMENTOS DA COMPUTAÇÃO I,36,36,
ELETIVA,5,9828,TÓPICOS EM MATEMÁTICA E SOCIEDADE I,0,36,36
ELETIVA,5,6168,TÓPICOS EM TECNOLOGIA DA COMPUTAÇÃO I,36,36,
ELETIVA,5,6931,TÓPICOS ESPECIAIS EM CIÊNCIA E ENGENHARIA DE MATERIAIS II,72,0,
ELETIVA,5,6942,TÓPICOS ESPECIAIS EM CIÊNCIA E ENGENHARIA DE MATERIAIS IV,64,8,
INTERDISCIPLINAR,5,6092,TÓPICOS INTERDISCIPLINARES EM COMPUTAÇÃO III,24,12,
ELETIVA,6,6044,ANÁLISE DO RN,72,0,
ELETIVA,6,6053,ANÁLISE MULTIVARIADA,62,10,
ELETIVA,6,5918,ANÁLISE REAL II,72,0,
ELETIVA,6,5096,APLICAÇÕES DE ROBÓTICA MÓVEL,20,52,
ELETIVA,6,4413,APRENDIZADO DE MÁQUINA E RECONHECIMENTO DE PADRÕES,48,24,
